Date,Year,Month,Week,District,Grade,Highest_Price,Average_Price,Source_URL
2016-01-26,2016,1,4,Monaragala,H-2,,,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,National,Alba,2100.0,2046.25,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,National,C-4,1600.0,1424.13,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,National,C-5,1800.0,1553.29,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,National,H-2,1450.0,1301.33,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Ratnapura,Alba,2100.0,2035.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Ratnapura,C-4,1350.0,1316.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Ratnapura,C-5,1450.0,1433.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-01-26,2016,1,4,Ratnapura,H-2,1200.0,1183.0,https://exagri.info/mkt/2016/1.26.january-2016.html
2016-02-02,2016,2,5,Badulla,Alba,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Badulla,C-4,1450.0,1450.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Badulla,C-5,1500.0,1500.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Badulla,H-2,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Colombo,Alba,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Colombo,C-4,1600.0,1600.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Colombo,C-5,1700.0,1700.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Colombo,H-2,1400.0,1400.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Galle,Alba,2050.0,2000.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Galle,C-4,1570.0,1550.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Galle,C-5,1650.0,1625.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Galle,H-2,1480.0,1470.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Gampaha,Alba,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Gampaha,C-4,1350.0,1175.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Gampaha,C-5,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Gampaha,H-2,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Hambantota,Alba,2100.0,2100.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Hambantota,C-4,1560.0,1560.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Hambantota,C-5,1600.0,1600.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Hambantota,H-2,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Kalutara,Alba,2000.0,2000.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Kalutara,C-4,1450.0,1430.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Kalutara,C-5,1600.0,1550.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Kalutara,H-2,1100.0,1030.0,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Kurunegala,Alba,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Kurunegala,C-4,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Kurunegala,C-5,,,https://exagri.info/mkt/2016/5.2.february-2016.html
2016-02-02,2016,2,5,Kurunegala,H-2,,,https://exagri.info/mkt/2016/5.2.february-2016.html
